Frame,Sub Frame,head,,,chest,,,leftshoulder,,,rightshoulder,,,leftelbow,,,rightelbow,,,lefthand,,,righthand,,,lefthip,,,righthip,,,leftknee,,,rightknee,,,leftfoot,,,rightfoot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
Frames,Frames,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
132,0,198.717,-581.980,-90.498,136.490,-487.526,46.524,194.679,-414.435,135.584,78.301,-560.616,-42.537,310.886,-311.535,222.802,6.070,-693.016,-180.660,482.479,-229.854,299.138,-97.743,-926.146,-276.695,30.992,-6.107,121.406,-26.258,2.656,-118.142,304.526,162.288,91.992,273.804,187.243,-199.348,146.924,486.001,230.204,24.969,500.168,-35.203
133,0,199.158,-579.137,-95.586,137.259,-487.261,43.674,192.779,-414.352,131.128,81.739,-560.169,-43.779,310.780,-311.876,212.010,6.065,-693.434,-182.868,481.380,-227.393,280.671,-98.225,-926.134,-281.729,29.537,-6.220,121.205,-24.785,2.729,-117.970,304.557,163.175,91.493,274.608,186.886,-198.814,147.449,487.395,231.138,26.525,501.916,-34.643
134,0,199.071,-576.352,-116.368,137.430,-486.600,37.575,193.300,-413.557,123.723,81.561,-559.644,-48.572,310.237,-312.139,203.000,5.983,-693.936,-184.813,480.181,-234.299,267.280,-97.851,-929.083,-276.029,29.564,-6.366,121.070,-24.812,2.894,-117.862,308.436,157.481,90.814,276.614,181.781,-196.931,147.801,479.922,230.844,30.333,497.352,-30.452
135,0,200.128,-573.387,-116.807,135.998,-484.572,39.239,190.274,-412.143,127.349,81.723,-557.001,-48.871,307.150,-311.771,207.038,5.993,-692.212,-186.015,478.972,-230.890,270.418,-97.623,-928.316,-278.513,28.797,-6.372,121.082,-24.089,2.894,-117.872,310.483,155.173,91.798,281.814,178.766,-196.290,147.318,474.466,230.675,36.435,494.066,-30.459
136,0,196.362,-575.837,-149.846,132.373,-483.902,15.875,184.925,-412.549,105.311,79.821,-555.255,-73.561,290.787,-312.445,177.940,1.149,-691.608,-201.175,464.654,-233.114,232.156,-99.131,-928.058,-279.382,28.821,-7.339,120.943,-24.114,3.771,-117.764,310.750,152.702,93.583,282.383,177.647,-193.039,147.434,470.784,230.454,36.027,492.598,-13.143
137,0,195.842,-577.547,-150.590,130.527,-485.880,16.447,181.560,-416.610,106.679,79.493,-555.150,-73.784,286.090,-322.017,194.249,0.459,-692.659,-202.457,461.211,-238.470,273.362,-99.314,-928.157,-278.246,28.653,-7.561,120.928,-23.986,3.936,-117.746,310.818,150.465,96.864,282.872,165.464,-190.372,146.572,464.692,230.403,38.112,485.554,-6.755
138,0,198.023,-581.209,-145.827,130.565,-486.151,20.694,180.983,-416.891,113.816,80.147,-555.410,-72.427,287.041,-325.366,204.434,1.428,-693.177,-201.971,461.395,-246.971,285.096,-98.731,-928.178,-273.193,28.387,-7.556,120.822,-23.792,3.916,-117.659,314.459,143.563,98.465,284.866,157.178,-187.160,148.191,454.685,228.183,42.439,477.935,-5.340
139,0,198.069,-581.207,-133.283,131.357,-486.114,27.552,181.684,-416.646,120.012,81.031,-555.581,-64.909,288.031,-326.155,228.950,1.743,-692.933,-193.090,460.636,-255.979,340.167,-96.633,-927.923,-263.248,28.274,-7.281,120.719,-23.703,3.638,-117.539,317.737,142.003,97.939,286.877,153.684,-187.380,147.006,451.455,216.528,45.328,467.702,-6.943
140,0,189.812,-581.759,-131.489,133.290,-486.274,20.333,182.266,-416.805,106.830,84.313,-555.742,-66.164,288.805,-326.510,220.428,1.896,-690.433,-196.335,460.372,-261.147,325.108,-94.923,-923.608,-274.051,27.904,-7.467,120.689,-23.321,3.815,-117.521,317.665,140.439,98.234,287.648,152.515,-186.183,145.374,453.560,216.415,45.532,463.398,-7.176
141,0,189.903,-581.863,-131.430,133.912,-486.461,20.485,183.655,-417.305,108.248,84.168,-555.618,-67.279,289.204,-327.265,209.101,2.040,-689.912,-195.568,461.416,-261.965,282.896,-91.779,-923.559,-268.753,27.898,-7.596,120.945,-23.309,3.939,-117.855,317.773,137.870,101.568,288.042,151.930,-186.305,146.411,452.083,219.817,45.068,462.448,-7.780
142,0,190.069,-582.151,-105.435,135.163,-487.490,36.765,183.991,-417.617,125.742,86.335,-557.362,-52.212,290.361,-329.435,235.987,5.041,-688.648,-186.979,462.088,-266.827,343.645,-87.092,-921.575,-267.578,26.352,-7.034,120.969,-21.804,3.352,-117.876,317.706,133.599,110.196,288.766,150.189,-182.245,143.695,446.585,223.181,45.604,456.141,-8.452
143,0,195.549,-581.177,-107.491,136.325,-487.744,34.364,184.498,-418.035,125.581,88.153,-557.453,-56.852,294.403,-333.050,233.471,7.008,-688.557,-196.188,463.430,-269.783,336.634,-86.714,-918.642,-282.478,26.250,-7.039,121.046,-21.701,3.347,-117.953,317.783,131.979,109.413,290.611,146.992,-182.455,142.820,442.352,224.358,46.987,455.749,-7.508
144,0,194.045,-581.231,-146.326,135.849,-487.406,18.820,184.312,-419.379,112.863,87.386,-555.432,-75.223,293.028,-336.070,206.397,6.832,-688.304,-202.729,463.825,-269.078,282.122,-87.890,-918.632,-280.773,26.235,-7.546,121.236,-21.683,3.854,-118.181,318.254,132.993,109.279,291.821,147.248,-180.713,143.214,443.890,230.115,47.603,457.697,1.853
145,0,194.556,-580.732,-135.644,136.737,-487.470,19.007,182.185,-419.515,112.792,91.288,-555.426,-74.778,293.423,-336.828,221.106,8.885,-688.275,-206.957,464.170,-272.070,344.651,-87.521,-918.014,-286.672,25.387,-7.691,121.241,-20.828,3.943,-118.183,318.046,129.674,113.351,295.156,148.030,-180.175,143.365,444.132,231.470,48.514,457.964,2.233
146,0,198.150,-580.596,-135.625,138.662,-488.303,18.813,185.546,-421.167,113.086,91.778,-555.439,-75.459,296.985,-337.159,223.645,10.391,-687.106,-208.561,467.175,-272.769,338.510,-85.330,-917.780,-288.700,25.395,-7.739,121.266,-20.835,3.993,-118.208,318.211,129.486,112.724,295.621,148.050,-180.328,144.624,443.627,231.548,48.805,455.637,5.670
147,0,201.097,-580.884,-129.849,139.205,-489.663,21.455,186.747,-422.730,116.644,91.663,-556.595,-73.735,298.235,-339.008,225.627,11.281,-687.138,-202.481,468.758,-276.828,333.419,-82.493,-919.093,-273.683,25.387,-7.760,121.470,-20.826,4.033,-118.436,318.154,130.738,112.622,294.998,150.529,-179.983,147.639,444.408,233.300,48.625,456.067,5.429
148,0,202.473,-581.300,-129.177,139.646,-489.771,22.351,186.796,-423.062,118.070,92.496,-556.479,-73.368,298.400,-340.553,226.477,11.933,-686.894,-202.437,468.590,-278.206,331.030,-82.520,-919.057,-273.651,25.282,-7.771,121.453,-20.736,4.043,-118.419,318.605,130.892,112.271,296.936,149.460,-179.470,148.437,445.146,234.323,49.738,456.802,10.458
149,0,202.911,-582.965,-133.886,139.653,-490.700,17.749,186.839,-424.971,114.970,92.468,-556.429,-79.472,298.780,-344.177,223.629,12.171,-687.090,-205.458,469.152,-279.231,327.775,-82.405,-919.068,-273.781,25.297,-8.400,121.631,-20.745,4.639,-118.607,318.352,131.142,114.062,296.236,151.164,-179.530,149.888,445.675,238.262,49.753,458.039,12.373
150,0,203.233,-581.862,-127.053,139.428,-490.933,21.360,186.714,-424.904,118.855,92.143,-556.961,-76.135,298.073,-344.780,244.621,12.090,-687.081,-205.939,468.975,-284.424,377.233,-81.936,-919.376,-279.006,25.287,-8.056,121.630,-20.739,4.303,-118.596,318.206,132.523,112.573,297.591,148.216,-180.631,148.830,448.500,226.477,49.742,450.109,10.833
151,0,203.028,-581.633,-125.474,138.100,-490.389,20.112,183.760,-424.527,116.019,92.441,-556.250,-75.796,296.558,-346.332,264.176,12.041,-687.016,-213.606,465.773,-288.837,451.641,-82.295,-916.552,-296.787,25.021,-8.101,121.759,-20.433,4.332,-118.678,315.831,133.936,116.323,297.462,148.415,-180.661,142.546,448.654,232.590,49.831,446.756,16.706
152,0,202.059,-583.938,-124.593,136.120,-491.339,17.923,179.848,-426.492,112.682,92.393,-556.187,-76.835,294.453,-358.352,260.098,12.377,-687.510,-221.966,463.147,-306.580,433.474,-82.202,-916.577,-305.391,24.651,-8.456,122.085,-20.021,4.592,-118.933,312.885,134.151,124.654,299.062,148.598,-176.392,138.687,445.619,258.934,50.142,445.618,18.524
153,0,202.015,-587.063,-118.208,134.108,-493.672,18.090,175.677,-430.592,112.816,92.539,-556.753,-76.636,292.721,-371.642,264.484,12.651,-690.396,-224.984,459.568,-316.555,447.436,-82.055,-917.691,-308.748,24.230,-8.634,122.093,-19.594,4.699,-118.931,306.856,135.101,130.675,299.133,148.744,-168.623,137.168,445.878,269.720,50.326,445.718,26.913
154,0,204.531,-588.332,-122.411,132.555,-494.902,12.873,172.658,-433.128,111.488,92.451,-556.676,-85.742,287.372,-373.405,263.214,12.284,-690.354,-239.421,446.230,-312.185,436.795,-83.260,-916.659,-321.493,24.089,-9.196,122.344,-19.460,5.099,-119.109,304.217,137.680,129.407,300.082,148.867,-167.324,137.043,447.538,268.846,54.808,446.160,32.687
155,0,207.344,-588.247,-106.055,131.713,-494.656,20.398,169.706,-431.737,117.841,93.719,-557.575,-77.044,283.455,-370.676,283.496,15.770,-690.472,-237.093,444.598,-315.142,477.826,-80.798,-916.162,-319.278,23.189,-8.846,122.189,-18.643,4.689,-118.915,302.744,137.755,133.571,300.087,147.539,-164.288,137.274,447.497,268.570,58.784,446.770,32.010
156,0,205.763,-587.621,-106.851,131.896,-494.568,18.157,170.120,-431.551,114.194,93.672,-557.584,-77.881,283.960,-370.304,279.434,16.074,-690.542,-239.032,444.917,-317.348,474.399,-80.212,-913.931,-330.008,23.184,-8.859,122.279,-18.633,4.697,-118.977,302.962,137.563,133.178,300.068,143.331,-165.785,136.357,447.149,266.412,58.511,443.141,33.163
157,0,205.467,-586.390,-110.451,131.284,-494.339,8.702,167.514,-431.826,103.384,95.055,-556.853,-85.980,283.264,-372.661,277.485,17.799,-689.468,-248.049,444.320,-320.198,465.914,-79.372,-910.422,-340.197,22.852,-9.555,122.473,-18.250,5.261,-119.153,302.415,136.083,140.561,301.774,143.563,-164.375,136.507,446.031,275.393,59.207,443.768,41.981
158,0,205.020,-586.597,-106.622,131.308,-495.287,13.808,167.795,-431.825,106.382,94.821,-558.750,-78.766,283.400,-375.077,283.415,17.734,-692.425,-240.333,445.071,-330.011,485.617,-77.132,-914.649,-332.033,22.784,-9.377,122.485,-18.185,5.105,-119.163,301.552,136.144,141.417,301.688,140.864,-164.081,136.637,446.102,273.254,59.045,439.813,41.518
159,0,204.945,-586.580,-82.094,128.281,-495.788,34.875,161.352,-430.254,128.503,95.209,-561.322,-58.753,273.815,-374.369,295.838,18.490,-692.972,-212.804,439.996,-329.411,492.580,-74.441,-918.951,-291.876,20.500,-8.038,122.494,-16.022,3.863,-119.171,301.238,135.495,142.417,302.034,137.254,-160.465,136.730,446.227,269.565,59.233,435.292,40.963
160,0,205.071,-588.110,-79.543,126.787,-495.034,38.311,157.720,-428.804,134.538,95.854,-561.264,-57.916,271.595,-373.826,297.079,21.441,-691.823,-212.900,439.452,-328.070,485.242,-72.147,-916.230,-293.179,18.943,-7.296,122.516,-14.513,3.083,-119.188,301.305,135.575,143.987,306.309,133.958,-160.768,138.871,446.294,268.779,63.897,433.691,40.052
161,0,205.446,-587.493,-80.640,127.081,-494.976,35.401,158.340,-428.730,134.059,95.823,-561.221,-63.256,270.960,-373.542,295.415,21.497,-689.929,-231.575,437.343,-329.569,487.557,-71.866,-906.036,-334.791,18.928,-7.098,122.604,-14.491,2.811,-119.242,299.970,137.350,143.263,307.125,131.301,-160.997,138.083,446.328,269.481,66.944,432.768,40.998
162,0,205.842,-587.580,-84.521,126.763,-495.092,34.240,157.520,-428.797,132.714,96.006,-561.387,-64.234,269.725,-376.199,295.073,22.247,-689.651,-236.132,435.896,-332.629,489.221,-70.899,-903.847,-342.784,18.768,-6.759,122.615,-14.345,2.431,-119.248,300.021,137.548,143.232,307.901,126.594,-160.432,137.712,445.035,273.976,69.116,428.766,48.537
163,0,208.466,-588.928,-80.696,125.800,-494.995,38.020,153.708,-428.620,137.594,97.891,-561.371,-61.553,268.406,-375.893,298.369,24.318,-689.403,-222.339,436.441,-332.684,486.558,-65.214,-904.497,-303.686,17.029,-6.300,122.650,-12.707,1.981,-119.280,299.327,140.114,145.654,307.843,127.000,-155.204,141.706,447.102,273.556,70.271,429.235,47.117
164,0,208.625,-588.901,-79.518,124.747,-494.921,38.311,150.835,-428.456,137.644,98.659,-561.387,-61.021,265.419,-375.320,299.516,25.075,-689.253,-220.806,433.829,-336.347,491.790,-64.297,-905.034,-300.233,16.232,-6.149,122.613,-11.963,1.851,-119.229,299.393,141.221,145.078,310.204,126.312,-152.786,142.221,446.640,273.215,75.053,428.553,49.731
165,0,209.421,-588.936,-69.484,125.900,-494.542,46.014,145.322,-427.716,146.447,106.479,-561.368,-54.419,262.154,-374.941,306.538,33.614,-689.229,-204.554,432.752,-337.003,500.228,-59.372,-907.100,-265.017,13.229,-5.808,122.633,-9.033,1.481,-119.242,298.249,143.350,144.070,312.828,125.891,-142.914,144.449,446.670,272.769,83.244,429.013,51.248
166,0,210.030,-588.950,-64.898,126.035,-493.695,51.284,145.283,-426.043,150.519,106.786,-561.346,-47.952,262.861,-374.711,310.809,34.171,-689.213,-198.344,432.933,-339.684,507.002,-59.461,-912.087,-263.572,12.283,-5.269,122.349,-8.180,0.975,-118.907,297.257,145.794,142.026,312.462,126.322,-142.063,145.206,447.651,268.921,82.196,429.407,50.155
167,0,209.569,-588.842,-63.511,125.077,-494.090,54.796,143.695,-425.456,153.150,106.460,-562.724,-43.559,262.285,-373.522,310.389,35.396,-691.883,-187.580,432.424,-340.882,502.865,-55.912,-921.567,-245.639,12.010,-4.534,122.307,-7.925,0.343,-118.875,297.673,146.199,140.441,312.988,126.524,-143.092,150.490,452.218,259.337,82.802,430.187,49.432
168,0,209.147,-585.179,-65.997,121.600,-492.829,53.242,136.879,-423.751,151.509,106.321,-561.908,-45.025,254.568,-370.363,309.536,35.381,-692.403,-190.524,428.163,-340.160,501.149,-56.446,-924.959,-250.483,11.089,-4.555,122.261,-6.979,0.364,-118.836,296.915,145.722,140.812,313.849,127.227,-143.900,155.843,453.884,257.983,83.900,431.358,49.105
169,0,209.779,-584.795,-71.386,120.812,-492.994,51.341,135.725,-424.107,151.000,105.899,-561.882,-48.319,252.705,-370.405,308.743,35.145,-691.570,-192.685,426.351,-341.134,500.295,-54.475,-923.877,-256.212,11.047,-4.578,122.034,-6.949,0.383,-118.575,,,,313.914,126.508,-142.431,156.571,453.161,260.383,86.519,431.530,50.470
170,0,209.409,-584.814,-75.294,120.160,-493.351,50.449,136.602,-424.059,149.850,103.718,-562.643,-48.952,253.291,-371.465,317.532,33.028,-693.871,-197.208,424.568,-344.437,526.433,-54.604,-925.411,-273.404,11.061,-4.508,121.514,-6.970,0.296,-117.962,,,,313.190,125.882,-141.866,157.280,451.457,266.890,90.752,433.714,49.980
171,0,210.513,-584.833,-74.444,119.000,-493.237,50.404,134.500,-423.622,150.016,103.500,-562.852,-49.208,248.312,-371.386,316.028,32.957,-693.969,-198.155,418.854,-347.710,521.339,-53.543,-927.719,-269.918,10.873,-4.275,121.342,-6.830,0.032,-117.781,,,,315.828,123.677,-135.425,161.316,451.434,271.753,100.184,434.716,54.091
172,0,209.074,-586.625,-74.618,117.789,-494.247,48.844,132.760,-425.269,149.604,102.818,-563.225,-51.916,248.054,-374.539,314.990,32.887,-691.078,-199.997,415.551,-351.215,517.285,-51.462,-921.828,-270.364,10.348,-4.224,121.456,-6.325,-0.089,-117.876,,,,315.864,124.386,-128.538,160.271,451.479,286.378,98.610,438.886,55.173
173,0,205.083,-587.486,-80.207,115.743,-494.138,47.488,131.023,-425.276,148.779,100.462,-562.999,-53.802,246.476,-375.250,314.894,30.883,-690.470,-203.402,414.294,-352.166,514.806,-51.024,-919.695,-277.024,10.293,-4.180,121.444,-6.277,-0.192,-117.850,,,,315.793,120.519,-129.487,161.384,451.446,284.885,101.464,440.077,54.609
174,0,202.659,-587.496,-88.231,111.965,-493.903,44.682,131.166,-425.320,146.008,92.765,-562.487,-56.643,246.984,-375.407,314.862,26.979,-688.541,-210.059,412.280,-351.945,514.187,-51.172,-917.332,-292.450,11.035,-4.173,121.475,-7.020,-0.210,-117.868,,,,315.577,119.010,-139.216,163.681,451.493,275.475,104.201,440.544,44.594
175,0,202.315,-584.562,-88.668,110.975,-493.185,43.285,131.670,-424.642,143.235,90.281,-561.728,-56.664,245.628,-374.133,314.483,25.086,-688.539,-209.888,410.255,-351.565,514.746,-50.027,-917.427,-292.027,11.286,-4.275,121.445,-7.260,-0.132,-117.838,,,,316.426,118.637,-149.009,167.995,452.096,269.353,107.089,442.631,38.100
176,0,202.401,-581.942,-74.099,110.433,-490.439,56.028,130.413,-419.908,153.512,90.453,-560.969,-41.456,240.287,-368.037,334.912,24.932,-687.264,-191.336,406.434,-351.073,553.357,-45.396,-918.125,-268.042,10.564,-3.941,121.414,-6.575,-0.496,-117.794,,,,317.083,118.224,-153.787,,,,110.187,442.942,6.916
177,0,190.264,-583.729,-69.414,107.771,-490.349,56.750,121.741,-419.985,152.812,93.800,-560.713,-39.312,231.594,-369.384,333.646,25.890,-689.090,-185.574,396.235,-354.182,544.296,-44.938,-920.100,-256.025,8.584,-3.931,121.241,-4.600,-0.518,-117.599,,,,317.035,118.137,-153.708,,,,109.102,443.003,2.120
178,0,190.513,-585.330,-70.259,107.511,-491.879,56.191,122.755,-423.008,152.083,92.267,-560.750,-39.701,233.059,-382.664,331.323,25.876,-693.569,-185.346,398.016,-363.453,542.774,-43.826,-924.748,-250.463,8.607,-4.014,121.213,-4.626,-0.441,-117.558,,,,316.302,121.086,-153.457,,,,109.216,451.936,5.689
179,0,190.575,-587.169,-73.979,107.060,-492.024,50.902,122.471,-423.068,146.327,91.649,-560.980,-44.523,230.890,-382.496,330.116,25.885,-694.077,-196.885,393.393,-364.830,539.748,-43.659,-925.733,-273.937,8.907,-4.137,121.048,-4.951,-0.342,-117.339,,,,315.430,131.025,-151.731,,,,110.642,460.907,30.143
180,0,190.038,-586.502,-79.183,106.364,-491.450,47.322,122.176,-423.056,144.042,90.551,-559.843,-49.399,229.107,-382.187,328.524,21.879,-680.788,-210.856,388.274,-367.626,541.339,-44.827,-910.344,-305.328,9.040,-4.126,121.002,-5.078,-0.441,-117.260,,,,314.536,129.903,-149.804,,,,110.180,459.786,31.811
181,0,190.390,-586.396,-72.706,106.343,-491.991,54.174,122.453,-422.999,147.569,90.234,-560.984,-39.221,227.978,-385.657,336.858,21.669,-683.939,-195.088,381.590,-376.645,560.080,-44.517,-915.728,-283.825,9.117,-3.505,120.632,-5.195,-1.080,-116.819,,,,309.424,129.816,-147.136,,,,110.410,461.012,31.800
182,0,190.908,-584.563,-72.078,106.141,-491.705,54.657,122.536,-421.789,148.149,89.747,-561.622,-38.834,226.771,-384.847,336.068,21.727,-689.892,-187.468,379.282,-375.720,557.677,-44.579,-929.382,-256.234,9.157,-3.505,120.610,-5.241,-1.080,-116.798,,,,307.465,137.952,-146.539,,,,110.719,465.350,33.721
183,0,190.434,-585.106,-66.561,104.555,-492.066,63.100,122.821,-422.157,157.235,86.289,-561.974,-31.036,224.536,-387.803,352.633,19.462,-668.969,-190.293,373.845,-383.774,586.523,-43.878,-900.382,-299.647,9.336,-2.341,119.688,-5.541,-2.297,-115.622,,,,300.266,140.477,-143.733,,,,110.743,471.761,30.504
184,0,187.615,-586.799,-29.389,102.395,-495.792,91.912,122.972,-421.931,179.567,81.818,-569.654,4.256,224.963,-390.448,369.898,19.015,-676.265,-160.143,369.723,-389.375,596.935,-44.238,-904.259,-269.706,10.854,-0.003,116.895,-7.319,-4.551,-112.567,,,,284.686,152.572,-136.604,,,,109.481,475.003,38.877
185,0,187.373,-586.898,-9.632,102.027,-498.289,103.877,123.210,-421.938,191.687,80.843,-574.639,16.067,223.257,-387.556,384.580,17.913,-667.520,-154.461,353.531,-387.049,611.380,-44.224,-892.795,-269.486,11.392,2.524,115.628,-7.980,-7.032,-111.152,,,,285.035,163.475,-133.212,,,,109.160,478.352,40.244
186,0,184.747,-586.771,-18.017,100.743,-499.075,92.006,123.372,-423.105,175.787,78.114,-575.044,8.226,223.514,-388.689,382.951,13.024,-669.061,-162.094,349.514,-394.861,599.178,-47.482,-895.788,-299.974,11.406,2.468,115.063,-8.001,-6.984,-110.556,,,,282.826,172.424,-130.352,,,,104.868,486.659,44.385
187,0,184.084,-585.008,-36.965,95.000,-499.446,85.656,123.773,-424.559,164.157,66.227,-574.332,7.156,219.256,-396.461,376.493,-4.653,-670.126,-173.589,337.224,-409.117,599.383,-62.028,-898.879,-307.552,15.698,1.842,112.054,-12.471,-6.372,-107.260,,,,267.150,169.725,-136.616,,,,99.522,484.926,44.966
188,0,184.323,-584.378,-37.530,96.739,-505.071,84.593,131.726,-430.522,167.907,61.751,-579.619,1.280,219.810,-407.823,376.708,-3.850,-670.770,-174.770,335.805,-426.889,604.802,-61.816,-900.261,-306.219,19.018,1.812,111.962,-15.885,-6.340,-107.151,,,,266.218,177.176,-144.525,192.185,538.858,197.720,99.620,493.898,42.383
189,0,241.142,-554.151,-81.009,101.727,-503.010,52.823,140.140,-433.374,142.258,63.313,-572.645,-36.612,208.622,-405.956,373.520,-19.232,-645.026,-232.556,308.329,-419.489,609.179,-72.757,-874.636,-356.359,21.955,-0.628,110.526,-18.819,-4.084,-105.863,,,,263.083,183.798,-143.660,173.886,535.329,204.014,80.184,491.598,82.621
190,0,197.950,-556.311,-84.573,104.177,-505.189,44.492,144.533,-437.825,128.413,63.822,-572.553,-39.429,220.319,-419.513,338.466,-18.401,-666.116,-219.501,319.151,-435.239,575.427,-71.067,-896.972,-294.135,24.023,-2.291,111.883,-20.571,-2.425,-107.421,,,,258.896,195.279,-149.432,180.284,553.214,205.841,82.219,509.935,66.806
191,0,248.546,-544.963,-138.852,110.227,-503.318,11.144,156.213,-443.106,104.207,64.242,-563.530,-81.920,216.387,-418.877,327.764,-19.638,-622.596,-293.437,302.699,-428.475,573.661,-70.861,-839.429,-430.834,27.484,-4.661,111.514,-24.017,-0.340,-107.062,,,,259.415,203.483,-134.316,168.427,545.659,222.726,75.631,506.787,116.540
192,0,210.809,-553.668,-151.628,111.250,-512.991,7.265,176.400,-460.314,90.274,46.099,-565.668,-75.744,242.384,-451.064,256.848,-23.874,-671.387,-271.017,311.442,-438.545,395.344,-77.514,-890.693,-382.234,36.720,-6.657,112.082,-32.559,2.026,-107.862,270.162,218.469,58.614,244.494,230.807,-141.758,185.541,554.625,206.648,79.598,530.901,82.218
193,0,217.358,-567.901,-174.278,121.393,-522.064,10.699,200.480,-472.064,92.163,42.306,-572.064,-70.765,247.393,-448.179,210.247,-44.799,-669.997,-254.646,302.871,-434.474,290.885,-95.689,-885.284,-371.154,42.186,-7.748,111.413,-38.126,3.379,-107.482,260.260,223.276,46.376,229.924,233.095,-141.816,183.365,567.093,180.901,70.775,539.034,70.486
194,0,218.994,-566.588,-188.445,123.471,-520.608,15.644,203.920,-469.051,98.970,43.023,-572.164,-67.682,248.192,-442.382,217.007,-42.164,-649.951,-264.880,307.337,-432.849,377.086,-92.110,-852.388,-406.973,43.014,-7.768,111.715,-39.033,3.399,-107.721,263.102,225.679,54.819,234.941,235.170,-142.397,185.460,565.266,187.314,71.403,535.839,71.420
195,0,218.277,-566.996,-176.166,121.604,-521.025,18.640,198.129,-467.538,103.091,45.078,-574.513,-65.811,247.545,-439.332,237.598,-49.811,-635.998,-270.671,306.294,-432.658,386.475,-95.896,-832.311,-429.056,44.042,-7.625,111.764,-40.182,3.223,-107.742,263.613,228.976,54.562,235.574,242.005,-141.898,189.329,574.216,187.074,73.027,542.467,69.928
196,0,213.241,-576.879,-187.600,119.385,-522.995,16.355,193.222,-470.581,102.656,45.548,-575.408,-69.946,227.988,-445.208,281.909,-55.523,-625.220,-298.317,297.019,-437.251,510.003,-96.515,-812.618,-482.385,44.170,-7.530,111.171,-40.556,3.034,-106.822,263.715,227.833,54.979,230.722,249.103,-129.341,189.690,573.600,185.947,72.448,544.208,96.421
197,0,184.505,-587.025,-212.581,112.895,-526.551,13.327,189.774,-477.648,97.327,36.015,-575.455,-70.672,224.028,-453.225,287.275,-75.346,-616.131,-305.888,281.681,-442.583,513.190,-110.745,-797.702,-489.251,44.655,-7.450,109.488,-41.261,2.909,-104.861,258.834,234.148,46.858,232.930,243.301,-128.515,187.752,582.978,172.027,68.223,542.264,101.204
198,0,154.881,-602.156,-211.470,104.836,-528.121,8.094,186.173,-479.976,89.033,23.500,-576.266,-72.846,,,,-85.261,-616.505,-305.610,273.598,-446.889,522.733,-118.039,-803.183,-486.770,45.207,-7.136,106.709,-41.997,2.557,-101.843,256.050,238.088,35.151,232.632,247.190,-118.270,189.320,590.485,157.056,69.271,538.660,134.023
199,0,138.641,-613.779,-208.643,94.034,-532.675,8.074,174.560,-489.125,90.039,13.509,-576.224,-73.890,,,,-93.501,-619.166,-302.184,267.944,-469.587,548.349,-134.925,-813.074,-471.811,45.256,-7.099,106.011,-42.149,2.526,-101.004,249.327,245.743,35.028,229.832,255.781,-119.288,192.317,602.165,161.553,70.191,541.963,123.364
200,0,114.837,-622.731,-206.258,81.495,-534.206,8.004,162.855,-491.636,89.029,0.134,-576.775,-73.020,,,,-104.271,-622.456,-295.573,259.877,-474.415,547.942,-149.342,-816.255,-460.721,45.747,-6.789,104.482,-42.790,2.119,-99.408,248.178,253.388,34.492,228.015,254.693,-120.284,198.497,613.188,159.772,74.188,544.060,117.509
201,0,115.383,-633.757,-205.003,73.926,-538.839,9.046,151.519,-497.153,90.460,-3.668,-580.524,-72.368,,,,-110.289,-622.990,-294.808,251.475,-509.630,587.838,-155.039,-819.603,-466.179,45.723,-6.669,104.375,-42.865,1.897,-99.206,248.342,259.970,37.467,225.283,255.190,-120.658,201.317,624.414,163.079,79.820,552.135,114.571
202,0,81.723,-651.913,-191.932,60.451,-543.279,10.713,128.647,-503.242,93.363,-7.744,-583.316,-71.937,,,,-108.390,-619.291,-306.389,244.597,-510.489,609.028,-156.587,-791.208,-511.190,45.439,-6.265,104.418,-42.747,1.196,-99.184,246.276,273.898,43.302,223.604,259.464,-121.330,208.945,639.637,165.257,83.462,565.545,105.593
203,0,39.918,-661.780,-168.095,45.710,-544.556,10.905,112.696,-502.560,93.548,-21.276,-586.553,-71.739,,,,-117.826,-615.175,-303.266,234.979,-511.042,615.677,-167.515,-793.478,-502.871,45.307,-6.157,104.008,-42.568,1.054,-98.528,246.756,269.394,30.591,210.786,259.291,-114.803,221.277,632.311,131.034,91.717,565.259,122.426
204,0,50.866,-662.302,-161.838,40.677,-547.856,13.030,108.621,-507.772,97.464,-27.268,-587.940,-71.405,,,,-123.145,-616.513,-301.604,224.429,-527.830,632.973,-167.892,-795.658,-496.363,45.263,-6.081,104.042,-42.637,0.879,-98.560,252.894,265.978,32.034,209.716,254.392,-120.189,224.001,628.886,137.961,93.482,562.134,121.692
