PEAK1=182,right_hand_TZ,Ball Toss
PEAK2=252,left_hand_TZ,Follow Through
SNAPSHOT=start_pose,252
SNAPSHOT=hand_cross,0
SNAPSHOT=flat_racket_arm,0
SNAPSHOT=peak_racket_arm,0
SNAPSHOT=contact,266
SNAPSHOT=hand_cross_2,307
SNAPSHOT=racket_deceleration,268
SNAPSHOT=finish_pose,288
,,head,,,chest,,,left_shoulder,,,right_shoulder,,,left_elbow,,,right_elbow,,,left_hand,,,right_hand,,,left_hip,,,right_hip,,,left_knee,,,right_knee,,,left_foot,,,right_foot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
44,0,96.0194,-370.385,1497.75,145.893,-112.21,1320.97,243.103,-38.5131,1292.86,48.6815,-185.907,1349.09,316.346,13.147,1070.32,109.702,-260.989,1056.04,400.232,41.1713,830.881,165.8,-319.255,884.866,67.638,103.659,873.451,-63.9977,-101.498,893.455,221.865,26.1733,497.912,89.4009,-237.948,587.964,242.039,106.87,78.6248,-98.4125,-259.861,141.215
45,0,95.2207,-367.477,1502.47,143.201,-111.29,1323.19,242.182,-37.6704,1294.76,44.2208,-184.91,1351.61,316.319,11.6984,1072.16,102.365,-262.549,1061.4,402.775,38.0992,831.925,165.541,-331.398,893.801,67.68,103.778,873.424,-64.0398,-101.597,893.496,216.361,40.3012,496.692,89.5364,-244.427,589.886,243.146,119.473,75.8562,-98.578,-269.807,141.564
46,0,95.2697,-364.546,1503.41,142.059,-107.968,1325.46,242.145,-33.0504,1296.37,41.9721,-182.885,1354.54,317.354,13.799,1073.46,99.8155,-266.423,1067.33,408.981,36.8842,833.503,166.432,-346.349,904.319,67.7414,103.919,873.322,-64.097,-101.708,893.601,213.964,45.9324,492.964,90.0249,-244.167,590.601,246.666,123.449,69.0623,-98.7659,-270.244,140.511
47,0,96.3885,-350.161,1509.75,140.289,-97.6229,1330.51,242.249,-21.233,1299.4,38.3278,-174.013,1361.61,317.614,23.1361,1075.36,91.4955,-266.533,1078.37,413.662,41.1448,836.557,167.143,-352.458,919.087,68.26,104.148,873.239,-64.6015,-101.886,893.681,210.28,52.2697,490.023,90.6362,-245.548,590.806,249.807,133.775,65.2749,-99.1172,-273.568,140.387
48,0,100.161,-345.148,1511.05,140.502,-91.7848,1331.43,243.205,-12.9141,1299.8,37.7988,-170.655,1363.05,319.525,31.797,1075.44,85.0335,-266.99,1082,421.702,49.2112,837.089,168.403,-357.121,921.937,68.4169,104.437,873.131,-64.7667,-102.141,893.794,206.934,50.9204,488.064,92.1265,-244.838,590.734,253.91,128.463,62.402,-98.7328,-274.458,136.95
49,0,101.262,-336.963,1515.13,140.453,-86.2955,1335.34,244.149,-7.04442,1301.29,36.7578,-165.547,1369.4,320.095,32.5679,1075.86,80.5976,-267.044,1092.43,422.091,47.2196,838.454,169.203,-361.135,933.665,68.6198,104.678,873.051,-64.9803,-102.342,893.864,204.349,52.2839,487.542,95.1722,-241.294,589.177,255.441,132.298,62.8167,-98.6138,-274.06,136.378
50,0,101.852,-337.182,1517.28,140.832,-87.0283,1335.53,245.779,-7.71791,1301.13,35.8848,-166.339,1369.93,320.956,30.4911,1074.37,77.1014,-276.598,1095.02,423.293,46.6029,837.805,169.138,-387.11,937.506,68.6581,105.789,873.043,-65.0181,-103.358,893.867,204.764,51.5081,487.641,98.4827,-240.378,588.35,264.071,132.212,62.8752,-96.9681,-273.189,136.097
51,0,102.309,-328.422,1519.4,140.482,-82.7127,1337.75,246.669,-3.8751,1301.38,34.2942,-161.55,1374.11,321.575,31.4943,1074.36,72.3042,-277.363,1100.98,424.332,45.201,837.776,169.135,-389.81,943.071,68.7374,106.145,873.029,-65.0951,-103.682,893.879,201.211,53.8375,487.554,98.5481,-236.742,585.842,265.53,135.833,61.5535,-96.1478,-265.586,132.401
52,0,103.479,-315.335,1521.23,140.83,-74.0575,1338.94,247.877,5.45456,1301.34,33.7824,-153.57,1376.55,322.333,37.9223,1074.21,66.7774,-276.306,1105.01,426.601,47.922,838.092,168.576,-386.288,949.75,68.767,106.26,872.95,-65.1378,-103.78,893.945,201.044,43.9593,488.595,100.215,-229.094,582.387,267.486,111.507,61.9361,-94.2542,-261.364,129.243
53,0,103.526,-310.676,1521.58,139.481,-67.2737,1342.24,247.716,14.7828,1303.3,31.2468,-149.33,1381.17,321.824,45.1654,1074.76,57.9429,-281.524,1112.94,427.584,50.3322,841.274,164.745,-409.388,962.052,68.7797,106.557,872.936,-65.1665,-103.978,893.958,201.167,42.9836,488.639,101.02,-227.822,581.834,267.179,112.37,62.0759,-92.4463,-261.463,129.281
54,0,107.125,-308.729,1522.8,139.536,-66.8583,1344.42,247.949,17.0312,1304.48,31.1223,-150.748,1384.36,322.236,46.0009,1074.85,56.1977,-288.301,1124.32,429.537,49.8045,842.971,163.327,-418.688,974.661,68.7137,107.547,872.911,-65.1116,-104.91,893.993,201.304,43.6713,488.872,105.513,-227.727,581.868,275.191,112.998,62.1901,-89.6879,-263.637,129.455
55,0,109.539,-307.311,1523.81,139.961,-68.1368,1345.11,248.954,15.4078,1304.41,30.9668,-151.681,1385.82,322.023,44.2855,1073.98,54.8029,-294.603,1128.37,428.839,45.3283,842.883,163.136,-429.709,979.198,68.7076,108.769,872.919,-65.1066,-106.129,893.99,203.412,44.3143,491.918,109.423,-227.973,582.07,278.339,113.926,65.391,-83.1149,-264.843,132.751
56,0,110.095,-306.277,1524.4,140.349,-68.8638,1346.1,250.096,13.904,1304.36,30.6019,-151.632,1387.84,322.125,43.7167,1073.65,51.8353,-302.694,1134.23,429.36,41.6135,842.817,161.991,-447.613,989.175,68.6595,109.401,872.917,-65.0579,-106.711,893.994,203.34,44.6604,494.527,110.337,-227.388,582.093,283.132,115.154,68.6021,-81.8141,-265.55,132.759
57,0,111.947,-301.046,1523.99,141.113,-61.6005,1347.8,251.457,22.0406,1304.31,30.7701,-145.242,1391.29,326.007,53.7363,1074.09,52.1886,-300.716,1139.95,436.477,58.2711,843.205,162.278,-441.307,994.723,68.5774,109.431,872.651,-64.9989,-106.725,894.25,203.419,32.4512,495.109,109.957,-222.899,581.377,286.466,87.9522,69.3116,-76.1975,-265.178,132.388
